gene_set_name	EntrezGene.ID
CustomGeneSet1	99586
CustomGeneSet1	192236
CustomGeneSet1	12986
CustomGeneSet1	11513
CustomGeneSet1	11515
CustomGeneSet1	224796
CustomGeneSet1	56629
CustomGeneSet1	53883
CustomGeneSet1	14629
CustomGeneSet1	15251
CustomGeneSet2	11564
CustomGeneSet2	229665
CustomGeneSet2	11835
CustomGeneSet2	12190
CustomGeneSet2	99586
CustomGeneSet2	227753
CustomGeneSet2	27029
CustomGeneSet2	16590
CustomGeneSet2	16846
CustomGeneSet2	17161
CustomGeneSet3	11564
CustomGeneSet3	11593
CustomGeneSet3	11846
CustomGeneSet3	109900
CustomGeneSet3	11484
CustomGeneSet3	11977
CustomGeneSet3	12040
CustomGeneSet3	71991
CustomGeneSet3	12733
CustomGeneSet3	13382
CustomGeneSet3	99586
CustomGeneSet3	13872
CustomGeneSet4	99586
CustomGeneSet4	192236
CustomGeneSet4	12986
CustomGeneSet4	11513
CustomGeneSet4	11515
CustomGeneSet4	224796
CustomGeneSet4	56629
CustomGeneSet4	53883
CustomGeneSet4	14629
CustomGeneSet4	15251
CustomGeneSet4	28080
CustomGeneSet4	12330
CustomGeneSet4	14119
CustomGeneSet4	110521
