Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
collagen and cuticulin-based cuticle extracellular matrix	GOCC	13	0.6312305096697988	50.54430292653435	3.4182122664167666E-16	7.964434580751066E-14	up	172197,  174319,  174397,  177187,  179693,  179823
proteinaceous extracellular matrix	GOCC	39	0.4871136184023896	20.63977909460306	2.5597055764228557E-15	2.982056996532627E-13	up	172197,  174319,  174397,  177187,  179693,  179823
collagen trimer	GOCC	33	0.4778488200985334	19.484965091000706	1.3774162660660809E-13	1.0697932999779896E-11	up	172197,  172410,  174107,  174226,  174397,  174731,  176117,  177187,  179693
structural constituent of cuticle	GOMF	154	0.30226649416830875	6.543471287359428	2.709978366893772E-12	9.430724716790327E-10	up	172197,  172410,  172607,  173382,  174107,  174226,  174397,  174731,  175696,  176117,  176721,  176988,  177187,  177715,  178971,  179431,  179619,  179693,  179823,  180908,  181308,  181356,  184366,  185812,  187239,  188426
defense response	GOBP	186	0.2813788340442503	5.746891964601444	5.445172169480447E-12	6.370851438292123E-9	up	174096,  177176,  177619,  177668,  178238,  178245,  178564,  179432,  179545,  179599,  179865,  180036,  180201,  180278,  181079,  181276,  181293,  181308,  184206,  184406,  186491,  187266
extracellular matrix	GOCC	44	0.4263694599845848	14.150063319281207	1.1162683456029271E-11	6.50226311313705E-10	up	172197,  174319,  174397,  177187,  179693,  179823
innate immune response	GOBP	117	0.2874655736768735	5.968441763462593	1.5726483879234584E-9	8.820126575022535E-7	up	177176,  177668,  178238,  178245,  178564,  179545,  179599,  179865,  180036,  180201,  180278,  181293,  181308,  184406,  187266
immune system process	GOBP	121	0.28184931923854856	5.76371978267393	3.0154278888965933E-9	8.820126575022535E-7	up	177176,  177668,  178238,  178245,  178564,  179545,  179599,  179865,  180036,  180201,  180278,  181293,  181308,  184406,  187266
immune response	GOBP	121	0.28184931923854856	5.76371978267393	3.0154278888965933E-9	8.820126575022535E-7	up	177176,  177668,  178238,  178245,  178564,  179545,  179599,  179865,  180036,  180201,  180278,  181293,  181308,  184406,  187266
structural molecule activity	GOMF	315	0.21275420133125286	3.751605878438804	1.8403270197042008E-8	3.2021690142853096E-6	up	172197,  172410,  172607,  173382,  174107,  174226,  174397,  174731,  175696,  176117,  176721,  176988,  177187,  177715,  178971,  179431,  179619,  179693,  179823,  180908,  181308,  181356,  184366,  185812,  187239,  188426
response to bacterium	GOBP	42	0.34189247910674814	8.370618439836507	8.115497003432148E-8	1.582521915669269E-5	up	178245,  179865,  181276,  181293,  181308,  186491
defense response to bacterium	GOBP	42	0.34189247910674814	8.370618439836507	8.115497003432148E-8	1.582521915669269E-5	up	178245,  179865,  181276,  181293,  181308,  186491
defense response to other organism	GOBP	54	0.3178217266248336	7.207610460157404	1.6280290222612878E-7	2.0204622506014616E-5	up	178245,  179545,  179865,  181276,  181293,  181308,  186491
