Id	Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Enriched	SigGenes
900840	Cystic Fibrosis Transmembrane Conductance Regulator And Beta 2 Adrenergic Receptor Pathway	Biocarta Pathway	12	0.5154857429117121	24.61957535209186	0.006740693582932943	0.36642202402220464	enriched	154,  5577
900954	Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation	Biocarta Pathway	12	0.4951286305643885	21.693884428735988	0.010769177902869352	0.36642202402220464	enriched	1902,  5577
900839	Cyclins and Cell Cycle Regulation	Biocarta Pathway	23	0.405225509894382	12.407706053031564	0.011346799893815044	0.36642202402220464	enriched	1031,  8900
900978	Stathmin and breast cancer resistance to antimicrotubule agents	Biocarta Pathway	19	0.42603426045607645	14.120617525871191	0.01236129014004951	0.36642202402220464	enriched	5577
900928	Phospholipase C-epsilon pathway	Biocarta Pathway	12	0.4884047280096555	20.806053499530893	0.01248233529163003	0.36642202402220464	enriched	154,  5577
900986	Th1/Th2 Differentiation	Biocarta Pathway	18	0.42178915953432927	13.752963479454323	0.016030013922455778	0.36642202402220464	enriched	3122
900891	IL12 and Stat4 Dependent Signaling Pathway in Th1 Development	Biocarta Pathway	21	0.4019219510094602	12.15556891482693	0.016138998052907486	0.36642202402220464	enriched	
900793	Activation of Csk by cAMP-dependent Protein Kinase Inhibits Signaling through the T Cell Receptor	Biocarta Pathway	21	0.4006784748914045	12.061996138891455	0.016608604780233512	0.36642202402220464	enriched	3122,  5577
900847	Downregulated of MTA-3 in ER-negative Breast Tumors	Biocarta Pathway	19	0.4102959375130228	12.804906989512984	0.017757859978738678	0.36642202402220464	enriched	226
901002	uCalpain and friends in Cell spread	Biocarta Pathway	17	-2.349420379620098	4.560210264837109E-7	0.018413167036291693	0.36642202402220464	depleted	
900831	Classical Complement Pathway	Biocarta Pathway	12	0.4602974640760851	17.47145398001673	0.022278598720436596	0.3776249077547771	enriched	716
900849	Effects of calcineurin in Keratinocyte Differentiation	Biocarta Pathway	18	-1.932497871139488	6.084798658942537E-6	0.022771351221393593	0.3776249077547771	depleted	
900989	The Co-Stimulatory Signal During T-cell Activation	Biocarta Pathway	18	0.39261933375830593	11.472757260900934	0.029740329917008753	0.4552558194988263	enriched	3122
900949	Regulation of PGC-1a	Biocarta Pathway	22	-1.1971688885420555	5.873230963339386E-4	0.037803553325150105	0.5373505079789194	depleted	
900933	Presenilin action in Notch and Wnt signaling	Biocarta Pathway	14	-1.9406125956133076	5.785552174056203E-6	0.04432524292505605	0.5880482228057436	depleted	
900834	Control of skeletal myogenesis by HDAC and calcium/calmodulin-dependent kinase (CaMK)	Biocarta Pathway	28	-0.8329168083164139	0.00564914234735091	0.05096486473996627	0.6192367974861189	depleted	
901006	Y branching of actin filaments	Biocarta Pathway	20	-1.1351830724947376	8.633262336728443E-4	0.05337953439548821	0.6192367974861189	depleted	
900859	Eukaryotic protein translation	Biocarta Pathway	16	-1.4226953084876728	1.446065740305296E-4	0.05601136861683488	0.6192367974861189	depleted	
900961	Role of MEF2D in T-cell Apoptosis	Biocarta Pathway	18	-1.1742370545586482	6.772818100088802E-4	0.06259615273360013	0.6296542389543254	depleted	
900798	ADP-Ribosylation Factor	Biocarta Pathway	17	-1.2212222777330528	5.057754018016636E-4	0.06539134740141087	0.6296542389543254	depleted	
900827	Cell to Cell Adhesion Signaling	Biocarta Pathway	14	-1.518249640035313	7.985272891345057E-5	0.06644592471377303	0.6296542389543254	depleted	
900805	Antigen Dependent B Cell Activation	Biocarta Pathway	11	0.40452687932694936	12.353952103894388	0.06991277185864304	0.6323927999940894	enriched	3122
900901	Lck and Fyn tyrosine kinases in initiation of TCR Activation	Biocarta Pathway	10	0.40992853706561055	12.775703540315009	0.07703249666699734	0.6664985581188031	enriched	3122
900811	B Cell Survival Pathway	Biocarta Pathway	15	-1.178076233974663	6.613137942442127E-4	0.08865766015029777	0.7156574184937742	depleted	
900813	BCR Signaling Pathway	Biocarta Pathway	34	-0.5540330031667295	0.03196550302087102	0.09126382053936773	0.7156574184937742	depleted	
900807	Apoptotic Signaling in Response to DNA Damage	Biocarta Pathway	22	-0.7572584951818961	0.009040283207943733	0.1006957900876063	0.7156574184937742	depleted	
900803	Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling	Biocarta Pathway	32	-0.5455347516865218	0.03369908188370891	0.10468855135224828	0.7156574184937742	depleted	
900817	Ca++/ Calmodulin-dependent Protein Kinase Activation	Biocarta Pathway	13	-1.171318571488036	6.896779005212329E-4	0.11389413041327659	0.7156574184937742	depleted	
900832	Complement Pathway	Biocarta Pathway	17	0.31824321864916816	7.226514879222039	0.11446541139808307	0.7156574184937742	enriched	716
900953	Rho cell motility signaling pathway	Biocarta Pathway	32	-0.5184723193043622	0.039871149996254435	0.11637747307989892	0.7156574184937742	depleted	
900862	Fc Epsilon Receptor I Signaling in Mast Cells	Biocarta Pathway	38	-0.453574275571562	0.05967832641028112	0.11765778947072937	0.7156574184937742	depleted	
900852	Endocytotic role of NDK, Phosphins and Dynamin	Biocarta Pathway	17	-0.8647926166672824	0.004633942788876753	0.12054080927058929	0.7156574184937742	depleted	
900965	Role of PI3K subunit p85 in regulation of Actin Organization and Cell Migration	Biocarta Pathway	16	-0.9150595322215725	0.003390640696320193	0.1206604476767372	0.7156574184937742	depleted	
900920	Nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells	Biocarta Pathway	15	-0.9657737068009684	0.0024740344024049322	0.12227312677783077	0.7156574184937742	depleted	
900919	NO2-dependent IL 12 Pathway in NK cells	Biocarta Pathway	17	0.3097580882652563	6.8553208960297125	0.1281995527498554	0.7248341842266276	enriched	
900900	Keratinocyte Differentiation	Biocarta Pathway	46	0.21585745005909257	3.8246595517622723	0.13112578207114872	0.7248341842266276	enriched	3204,  5588,  9020
900876	How does salmonella hijack a cell	Biocarta Pathway	13	-1.0271823323174416	0.0016891401931224846	0.1377775948726204	0.7410200372878772	depleted	
900909	Monocyte and its Surface Molecules	Biocarta Pathway	11	0.34690576717759414	8.635515339160763	0.14683429160464587	0.768948000771698	enriched	6401,  6403
900910	mTOR Signaling Pathway	Biocarta Pathway	23	-0.5610085393603407	0.03060939741845191	0.16110437997250437	0.8082520758191233	depleted	
900921	Nuclear Receptors in Lipid Metabolism and Toxicity	Biocarta Pathway	14	-0.8106361092990372	0.006488098828860872	0.17371997616897708	0.8082520758191233	depleted	
900829	Ceramide Signaling Pathway	Biocarta Pathway	22	-0.5534909750614359	0.03207336012607758	0.17413936788065226	0.8082520758191233	depleted	
900792	Actions of Nitric Oxide in the Heart	Biocarta Pathway	30	0.22902094577933194	4.150693481875013	0.1813348526366374	0.8082520758191233	enriched	5577
900980	T Cell Receptor Signaling Pathway	Biocarta Pathway	43	-0.3241933228805637	0.13335581132308727	0.1902711095973492	0.8082520758191233	depleted	
900821	CBL mediated ligand-induced downregulation of EGF receptors	Biocarta Pathway	13	-0.8060212204666984	0.0066768697322924925	0.191278286123917	0.8082520758191233	depleted	
900884	IL 3 signaling pathway	Biocarta Pathway	15	0.2859049411331702	5.910835325988627	0.19813654495970903	0.8082520758191233	enriched	3562
900945	Regulation of eIF2	Biocarta Pathway	11	-0.9072257129038949	0.0035597952048181773	0.20004638750056342	0.8082520758191233	depleted	
900800	AKAP95 role in mitosis and chromosome dynamics	Biocarta Pathway	12	0.3081453155573885	6.786954906182858	0.20011661209737136	0.8082520758191233	enriched	5577
900864	Fibrinolysis Pathway	Biocarta Pathway	12	0.30799034759224025	6.78042177271577	0.20042793570216144	0.8082520758191233	enriched	5055
900939	Ras Signaling Pathway	Biocarta Pathway	23	-0.4815826255094269	0.05014445772946936	0.2043699360439893	0.8082520758191233	depleted	
900842	Cytokines and Inflammatory Response	Biocarta Pathway	28	0.22397508136736632	4.022555328363606	0.20806912875326314	0.8082520758191233	enriched	3122,  3562
900930	Phosphorylation of MEK1 by cdk5/p35 down regulates the MAP kinase pathway	Biocarta Pathway	11	0.31003764778441223	6.867241359365102	0.21517139644735328	0.8082520758191233	enriched	4804
900841	Cytokine Network	Biocarta Pathway	21	0.2454340464841123	4.596413901866613	0.2167825589706657	0.8082520758191233	enriched	3562
900923	p38 MAPK Signaling Pathway	Biocarta Pathway	38	-0.3251628713505056	0.13255470993591	0.2168251804709826	0.8082520758191233	depleted	
900967	Role of Tob in T-cell activation	Biocarta Pathway	19	0.2520591015725457	4.78960782278707	0.2227507235856105	0.8082520758191233	enriched	
900943	Regulation of BAD phosphorylation	Biocarta Pathway	26	0.2220482552049593	3.974674607619566	0.2289969249322544	0.8082520758191233	enriched	3562,  5577
900935	Protein Kinase A at the Centrosome	Biocarta Pathway	15	0.2715438500112308	5.406157649379961	0.22959020675714226	0.8082520758191233	enriched	5577
900938	Rac 1 cell motility signaling pathway	Biocarta Pathway	23	-0.4347517768063813	0.06708385245349158	0.23621651552019027	0.8082520758191233	depleted	
900858	Erythropoietin mediated neuroprotection through NF-kB	Biocarta Pathway	11	-0.7811129220332989	0.0077947044614674185	0.23742580144262426	0.8082520758191233	depleted	
900960	Role of MAL in Rho-Mediated Activation of SRF	Biocarta Pathway	19	-0.4918055076398193	0.047057807293013836	0.24188836210663026	0.8082520758191233	depleted	
900951	Repression of Pain Sensation by the Transcriptional Regulator DREAM	Biocarta Pathway	14	0.27212397996159654	5.4256835399897545	0.24369409321179594	0.8082520758191233	enriched	5577
900898	Integrin Signaling Pathway	Biocarta Pathway	37	-0.29745112224658277	0.1574665611842945	0.25432593761597694	0.8193647522674622	depleted	
900860	Extrinsic Prothrombin Activation Pathway	Biocarta Pathway	13	0.2728064678105936	5.4487448759281785	0.258926822159263	0.8193647522674622	enriched	2152
900799	Agrin in Postsynaptic Differentiation	Biocarta Pathway	35	-0.3041001150065837	0.15109250143340894	0.2593968813711061	0.8193647522674622	depleted	
900895	Influence of Ras and Rho proteins on G1 to S Transition	Biocarta Pathway	26	-0.36263877396135974	0.10501439305944438	0.26781447633922884	0.8292274295759842	depleted	
900905	MAPKinase Signaling Pathway	Biocarta Pathway	86	-0.1670363027685859	0.3541392222697189	0.28064462757085434	0.8292274295759842	depleted	9020
900964	Role of Parkin in the Ubiquitin-Proteasomal Pathway	Biocarta Pathway	11	-0.652156729280068	0.017371949153709165	0.2872609279494361	0.8292274295759842	depleted	
900903	Links between Pyk2 and Map Kinases	Biocarta Pathway	28	-0.3250109388303516	0.13267992734078768	0.2886635248014305	0.8292274295759842	depleted	
900845	Deregulation of CDK5 in Alzheimers Disease	Biocarta Pathway	11	-0.6286367495582346	0.02010611995734809	0.2979544717526286	0.8292274295759842	depleted	
900816	Bone Remodelling	Biocarta Pathway	14	-0.5180209236760036	0.039983155445300414	0.2985292845751435	0.8292274295759842	depleted	
900936	PTEN dependent cell cycle arrest and apoptosis	Biocarta Pathway	18	-0.42675601217410475	0.0705014946057163	0.3005598993909533	0.8292274295759842	depleted	
900934	Proteasome Complex	Biocarta Pathway	18	-0.4235915435928349	0.07190169520771811	0.30304156559996337	0.8292274295759842	depleted	
900971	Signaling of Hepatocyte Growth Factor Receptor	Biocarta Pathway	35	-0.26350909061380756	0.19444503961342552	0.31237698071401043	0.8292274295759842	depleted	
900917	NFkB activation by Nontypeable Hemophilus influenzae	Biocarta Pathway	24	0.19690096571520857	3.3996154970390045	0.31815665048258196	0.8292274295759842	enriched	3553,  9020
900924	p53 Signaling Pathway	Biocarta Pathway	16	0.22652384648950122	4.0867781893961945	0.3273271719626857	0.8292274295759842	enriched	
900913	Nerve growth factor pathway (NGF)	Biocarta Pathway	18	0.21561704266531684	3.8189496325430263	0.3301164330731342	0.8292274295759842	enriched	4804
900866	fMLP induced chemokine gene expression in HMC-1 cells	Biocarta Pathway	35	-0.2465646222544664	0.21603766786304127	0.3376533960436754	0.8292274295759842	depleted	
900885	IL 4 signaling pathway	Biocarta Pathway	11	-0.5414350718823848	0.03456869474989011	0.34295425391949036	0.8292274295759842	depleted	
900927	Phosphoinositides and their downstream targets.	Biocarta Pathway	23	-0.31607912511710673	0.14025292338524858	0.3458922351254926	0.8292274295759842	depleted	
900810	Attenuation of GPCR Signaling	Biocarta Pathway	13	0.23742481351549724	4.373231322114576	0.34660059658425996	0.8292274295759842	enriched	5577
901001	Tumor Suppressor Arf Inhibits Ribosomal Biogenesis	Biocarta Pathway	17	0.21333875389017956	3.765259366159085	0.3497833229687484	0.8292274295759842	enriched	
900908	METS affect on Macrophage Differentiation	Biocarta Pathway	18	-0.3649291793982483	0.10353020908579592	0.3538331359194584	0.8292274295759842	depleted	
900926	Pertussis toxin-insensitive CCR5 Signaling in Macrophage	Biocarta Pathway	17	-0.3788415750113453	0.0949550250426188	0.35462236618050935	0.8292274295759842	depleted	
900808	Aspirin Blocks Signaling Pathway Involved in Platelet Activation	Biocarta Pathway	21	0.1918300245256278	3.294150842901345	0.3642689945681427	0.8292274295759842	enriched	
900896	Inhibition of Cellular Proliferation by Gleevec	Biocarta Pathway	23	0.18324565809813417	3.1230183399226528	0.37009994761007164	0.8292274295759842	enriched	
900804	Angiotensin-converting enzyme 2 regulates heart function	Biocarta Pathway	13	-0.43770059089019786	0.06586568825793386	0.37048929200045183	0.8292274295759842	depleted	
900882	IL 17 Signaling Pathway	Biocarta Pathway	15	0.2148631199104659	3.8010984283242046	0.3744196814195944	0.8292274295759842	enriched	3562
900932	Platelet Amyloid Precursor Protein Pathway	Biocarta Pathway	14	-0.4041409523708137	0.08114012866348516	0.378967987856417	0.8292274295759842	depleted	
900796	Adhesion and Diapedesis of Granulocytes	Biocarta Pathway	14	0.21768833920347383	3.868426037844379	0.38246479338888856	0.8292274295759842	enriched	6403
900881	IGF-1 Signaling Pathway	Biocarta Pathway	21	-0.3018398877270244	0.1532297866575355	0.3841422079332459	0.8292274295759842	depleted	
900802	ALK in cardiac myocytes	Biocarta Pathway	37	-0.21003163550749965	0.2711008728153786	0.38640481364264634	0.8292274295759842	depleted	1482
900855	Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia	Biocarta Pathway	23	-0.2818456311092655	0.17350304286945173	0.3874605125322916	0.8292274295759842	depleted	
900999	Transcription Regulation by Methyltransferase of CARM1	Biocarta Pathway	12	0.22874112850880826	4.143481886174574	0.3880424791743845	0.8292274295759842	enriched	5577
900979	Stress Induction of HSP Regulation	Biocarta Pathway	15	-0.37431272244539027	0.09766550271953861	0.3884721283638159	0.8292274295759842	depleted	
900925	PDGF Signaling Pathway	Biocarta Pathway	32	-0.22593594583942986	0.24558716134279643	0.39224534242687514	0.8292274295759842	depleted	
900844	Dendritic cells in regulating TH1 and TH2 Development	Biocarta Pathway	22	0.1783216247467643	3.028898473347035	0.39586234075235427	0.8292274295759842	enriched	3562
900877	How Progesterone Initiates Oocyte Membrane	Biocarta Pathway	34	0.14670357913997945	2.4885625409575343	0.40694280764996354	0.8435585283577369	enriched	5577
900990	The IGF-1 Receptor and Longevity	Biocarta Pathway	14	0.20590540117577952	3.5952782007896755	0.41536476055949095	0.8456901468503522	enriched	2690
900897	Insulin Signaling Pathway	Biocarta Pathway	22	-0.2677507709489624	0.18938636155689847	0.4164705245795704	0.8456901468503522	depleted	
900812	B Lymphocyte Cell Surface Molecules	Biocarta Pathway	10	0.22594327844915718	4.072059650293374	0.43679646785939197	0.8663319995938422	enriched	3122
900875	HIV-I Nef: negative effector of Fas and TNF	Biocarta Pathway	56	-0.14526845556959783	0.4054383220581061	0.4368913948851375	0.8663319995938422	depleted	329,  330,  9020
900958	Role of Erk5 in Neuronal Survival	Biocarta Pathway	17	-0.2918287772285073	0.1630657994022169	0.44501321903011426	0.8663319995938422	depleted	
900946	Regulation of eIF4e and p70 S6 Kinase	Biocarta Pathway	24	-0.23187508929218245	0.2366879178916905	0.448767844882113	0.8663319995938422	depleted	2690
900950	Regulation of transcriptional activity by PML	Biocarta Pathway	17	-0.2824300518960048	0.17287403211819877	0.4563294562199993	0.8663319995938422	depleted	
900835	Corticosteroids and cardioprotection	Biocarta Pathway	19	0.1679824778673258	2.8404010794132963	0.4614170179258687	0.8663319995938422	enriched	154
900861	FAS signaling pathway ( CD95 )	Biocarta Pathway	30	-0.1950287798303341	0.2975933164148002	0.4623525468471995	0.8663319995938422	depleted	
900975	Sonic Hedgehog (Shh) Pathway	Biocarta Pathway	16	0.17888334517469004	3.0394904480483906	0.46476514907855204	0.8663319995938422	enriched	5577
900992	Thrombin signaling and protease-activated receptors	Biocarta Pathway	37	0.12668671574902615	2.197473496286401	0.46581670329920155	0.8663319995938422	enriched	
900823	CD40L Signaling Pathway	Biocarta Pathway	15	0.18001866598177563	3.0610116303351433	0.47525838519093555	0.8682052511446552	enriched	9020
900914	Neuropeptides VIP and PACAP inhibit the apoptosis of activated T cells	Biocarta Pathway	26	-0.2011194651301161	0.2865395643933265	0.48255121163586745	0.8682052511446552	depleted	5577
